"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Accredited","Yes (Oct 2019)","0","60","","60","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.0%","44.8%","0.5%","1.0%","Info not available","9.0%","40.7%","","","","","","","","Cranbrook, BC V1C 6E1","","0","","0","Residential Manager","Family only","Italian, English, Filipino, French, Thai, Mandarin","","25 Oct 2016","Dr. F. W. Green Memorial Home","Yes","Info not available","0.35","2.92","Interior Health","1.0","0.0","0","1.5","1.7","1","0.7","1.7","1","11.9","11.7","7","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.7","1","","Regular Schedule","1979","Interior Health","Yes","(250) 426-3710","(250) 420-2468","","Monitoring","Community Care and Assisted Living Act","0","60","0"," ","No","N\A","N\A","1700 4th Street St. South","3.27","Yes (no fee)"
"Info not available","Info not available","0","128","","128","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.1%","35.2%","Info not available","1.9%","2.8%","2.9%","26.9%","","","","","","","","Coquitlam, BC V3B 7X5","","5","","4","Info not available","Info not available","Info not available","","15 Jun 2016","Dufferin Care Centre","Info not available","Info not available","0.30","2.40","Fraser Health","1.0","0.8","1","1.5","0.8","1","0.7","0.0","0","11.9","14.1","18","0.1","0.0","0","0.2","0.0","0","1.6","0.8","1","1.6","7.8","10","","Info not available","Info not available","Retirement Concepts","Info not available","(604) 552-1166","Info not available","","Routine","Hospital Act","Info not available","Info not available","Info not available"," ","N\A","N\A","N\A","1131 Dufferin St","2.70","Info not available"
"Accredited","Yes (2017)","0","146","","146","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.9%","33.9%","34.9%","51.5%","0.2%","11.9%","22.2%","","","","","","","","Nanaimo, BC V9S 2B7","Info not available","","Info not available","","Manager / Clinical Nurse Leader","Separate and Combined Resident and Family Councils","English, Tagalog, French, Dutch, Cantonese, Russian, Arabic","14 Oct 2016","","Dufferin Place","No","Outside Contractor","0.36","2.92","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","5","Regular Schedule","1978","Vancouver Island Health","Yes","(250) 755-7632","(250) 755-7654 / (250) 755-7632 ext 55992","Follow-up","","Hospital Act","30","12","8"," ","No","Yes","No","1200 Dufferin Cres.","3.28","Yes (fee charged)"
"Accredited","Yes (Jun 2018)","0","117","","117","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.1%","61.6%","Info not available","6.5%","9.3%","18.8%","10.6%","","","","","","","","Quesnel, BC V2J 3S3","","1","","0","Residential Care Manager","Separate and Combined Resident and Family Councils","English, Filipino, French, First Nations, Punjabi","","30 Jun 2016","Dunrovin Park Lodge","Yes","Operator","Info not available","2.86","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","3.4","4","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2010","Northern Health","Yes","(250) 985-5800","(250) 985-5624","","Follow-up","Community Care and Assisted Living Act","0","107","3"," ","No","Yes","No","900 St Laurent Avenue","3.01","Yes (no fee)"
"Accredited","Yes (2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","33.1%","58.5%","57.9%","54.4%","0.3%","2.6%","28.0%","","","","","","","","Qualicum Beach, BC V9K 2L1","0","","0","","Clinical Nurse Leader","Separate and Combined Resident and Family Councils","English, French, Spanish","23 Nov 2016","","Eagle Park Health Care Facility","Yes","Operator","0.31","2.82","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","1","Regular Schedule","1994","Vancouver Island Health","Yes","(250) 947-8220","(250) 947-8220 ext 39105","Follow-up","","Hospital Act","0","55","20"," ","No","No","No","777 Jones St","3.13","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","22","","22","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.0%","53.8%","Info not available","5.7%","Info not available","16.6%","27.8%","","","","","","","","Port Hardy, BC V0N 2P0","Info not available","","Info not available","","Nurse Leader","Separate and Combined Resident and Family Councils","English, German, French","08 Nov 2016","","Eagle Ridge Manor","Yes","Operator","0.34","3.18","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","2","Regular Schedule","2000","Vancouver Island Health","Yes","(250) 902-6043","(250) 902-6044","Follow-up","","Hospital Act","0","22","0"," ","No","No","No","9120 Granville St.","3.52","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","75","","75","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.7%","67.1%","14.9%","38.0%","6.9%","13.5%","20.8%","","","","","","","","Port Moody, BC V3H 3W9","","0","","0","Clinical Service Manager","Combined Resident and Family Councils","English, Mandarin, French, Punjabi, Cantonese","","13 Jun 2016","Eagle Ridge Manor (ECU)","Yes","Outside Contractor","0.37","3.18","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","2.7","2","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Fraser Health","Yes","(604) 469-3211","(604) 469-3213","","Follow-up","Hospital Act","0","39","18"," ","No","No","No","475 Guildford Way","3.55","Yes (fee charged)"
"N/A","No","0","67","","67","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.9%","51.8%","Info not available","Info not available","Info not available","Info not available","33.0%","","","","","","","","Port Alberni, BC V9Y 4X3","Info not available","","Info not available","","Director of Care / Executive Director","Resident only","English, Punjabi","11 May 2016","","Echo Village","Yes","Operator","Info not available","Info not available","Vancouver Island","","","","","","","","","","","","","","","","","","","","","","","","","3","Regular Schedule","1991","Alberni-Clayoquot Continuing Care Society","Yes","(250) 724-1090","(250) 724-6541 ext 249 / (250) 724-6541 ext 232","Routine","","Hospital Act","0","67","0","Specialty equipment","No","No","No","4200 10th Avenue","3.29","Yes (no fee)"
"N/A","No","0","89","","89","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.4%","50.1%","0.3%","2.2%","76.0%","49.6%","34.9%","","","","","","","","Chilliwack, BC V2P 5K6","","0","","0","Director of Care","Resident and Combined Resident and Family Councils","English, Dutch, German, Czech, Hungarian, Punjabi, Hindi, Tagalog","","23 Feb 2016","Eden Care Centre","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","1.1","1","11.9","20.2","18","0.1","0.0","0","0.2","0.0","0","1.6","1.1","1","1.6","0.0","0","","Regular Schedule","1973","Fraser Valley Care Centre Management Ltd.","Yes","(604) 792-8166","(604) 792-8166","","Routine","Community Care and Assisted Living Act","0","89","0","As required specialized products","No","No","No","9100 Charles Street","2.79","Yes (no fee)"
"Exemplary","Yes (Jun 2017)","18","175","","193","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.0%","42.2%","0.1%","0.4%","3.8%","2.4%","33.9%","","","","","","","","Surrey, BC V4N 2X7","","1","","0","Available onsite","Separate Resident and Family","English, Dutch, German, Spanish, French, Thai, Italian, Mandarin, Punjabi, Russian, Polish","","30 Nov 2016","Elim Village, The Harrison/Harrison West","Yes","Contractor","0.20","2.78","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.8","1","11.9","10.2","12","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2009","Elim Christian Care Society","Yes","(604) 583-3546","Info not available","","Routine","Community Care and Assisted Living Act","0","181","6","Sundries, specialty services","No","Yes","No","9025 160th St.","2.98","Yes (no fee)"
"Exemplary","Yes (Dec 2017)","0","157","","157","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","12.2%","51.8%","Info not available","Info not available","Info not available","11.9%","21.9%","","","","","","","","White Rock, BC V4B 3R5","","0","","0","Executive Director of Care","Separate and Combined Resident and Family Councils","Tagalog, Punjabi, Japanese, Arabic, Spanish, Mandarin, Hindi, Cantonese, Mandarin, French","","31 Mar 2016","Evergreen Baptist Home","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.6","1","1.5","0.6","1","0.7","1.3","2","11.9","21.7","34","0.1","0.0","0","0.2","0.0","0","1.6","1.9","3","1.6","1.3","2","","Regular Schedule","Info not available","Evergreen Heights Baptist Housing Society","Yes","(604) 536-3344","(604) 541-3838","","Follow-up","Community Care and Assisted Living Act","0","153","2","Clothing labelling fee","No","No","No","1550 Oxford St","2.79","Yes (no fee)"
"Info not available","Yes (Info not available)","0","288","","288","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.3%","58.0%","13.0%","17.8%","6.0%","2.2%","34.7%","","","","","","","","North Vancouver, BC V7L 2L7","","5","","3","Info not available","Separate Resident and Family Councils","Info not available","","28 Jun 2016","Evergreen House EC (Lions Gate Hospital)","No","Outside Contractor","0.29","2.97","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.3","1","11.9","3.8","11","0.1","0.0","0","0.2","1.0","3","1.6","3.8","11","1.6","1.7","5","","Regular Schedule","1980","Vancouver Coastal Health","Info not available","(604) 988-3131","Info not available","","Routine","Hospital Act","62","22","9","Hairdressing, podiatry, dentistry","No","No","No","231 East 15th Street","3.26","Info not available"
"Primer Award","Yes (Mar 2017)","12","25","","37","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","12.2%","54.4%","Info not available","13.0%","3.6%","Info not available","15.3%","","","","","","","","Campbell River, BC V9W 3R7","","Info not available","","Info not available","CEO / Administrator","Separate Resident and Family","English, French, German","","17 May 2016","Evergreen Seniors Home","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","2.7","1","0.7","0.0","0","11.9","16.2","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2005","Evergreen Seniors Home Inc.","Yes","(250) 286-7274","(250) 286-7274 ext 103","","Follow-up","Community Care and Assisted Living Act","0","34","1"," ","No","Yes","No","635 Evergreen Rd","3.27","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","109","","109","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.2%","29.3%","15.4%","21.5%","28.4%","11.5%","9.7%","","","","","","","","Burnaby, BC V5B1R6","","0","","0","Nguyen Nguyen (Wynn) Manager","Combined Resident and Family Council","English","","05 Oct 2016","Fellburn Care Centre","No","Operator","0.34","3.05","Fraser Health","1.0","0.0","0","1.5","0.9","1","0.7","0.0","0","11.9","7.3","8","0.1","0.0","0","0.2","0.0","0","1.6","1.8","2","1.6","0.0","0","","Regular Schedule","1964","Nguyen Nguyen (Wynn)","Yes","(604) 412-6504","(604) 412-6504","","Follow-up","Hospital Act","15","12","19","Hairdressing","No","No","No","6050 Hastings St.","3.40","Yes (no fee)"
"N/A","No","0","64","","64","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.3%","60.5%","0.4%","22.6%","Info not available","5.9%","25.3%","","","","","","","","Vancouver, BC V5P 2P6","","Info not available","","Info not available","Director of Care / Administrator","Combined Resident and Family","Finnish, English, Bosnian, Tagalog, Mandarin, Polish, Italian, Punjabi, Japanese, Taiwanese, Farsi, Dutch, Swedish","","22 Jun 2016","Finnish Home","Yes","Operator","0.20","2.62","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","21.9","14","0.1","0.0","0","0.2","0.0","0","1.6","1.6","1","1.6","1.6","1","","Regular Schedule","1963","Finnish Canadian Rest Home Association","Yes","(604) 325-8241","(604) 325-8241","","Routine","Community Care and Assisted Living Act","0","64","0"," ","No","No","No","2288 Harrison Drive","2.82","No"
"N/A","No","0","60","","60","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.9%","37.6%","0.4%","19.3%","2.2%","4.1%","10.4%","","","","","","","","Burnaby, BC V5G 3B2","","1","","0","Administrator / Director of Care","Separate and Combined Resident and Family Councils","English, Finnish, Gujarati, Punjabi, Mandarin, Cantonese, Polish, Korean, Russian, Slovakian, Hungarian, Hindi, Japanese, Swedish, Fijian, Tagalog","","28 Nov 2016","Finnish Manor","Yes","Operator","0.31","2.48","Fraser Health","1.0","1.7","1","1.5","0.0","0","0.7","1.7","1","11.9","8.3","5","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Jubilee Multi Generational Housing Society","Yes","(604) 434-2666","(604) 434-2666","","Follow-up","Community Care and Assisted Living Act","3","12","18"," ","No","No","No","3460 Kalyk Avenue","2.79","Yes (no fee)"
"N/A","No","1","66","","67","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","33.2%","49.1%","0.4%","0.4%","4.7%","Info not available","27.1%","","","","","","","","Port Alberni, BC V9Y 7Y5","","1","","1","Executive Director / Manager","Resident only","English, Punjabi","","17 Mar 2016","Fir Park Village","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","1.5","1","1.5","1.5","1","0.7","6.0","4","11.9","26.9","18","0.1","0.0","0","0.2","0.0","0","1.6","10.4","7","1.6","0.0","0","","Regular Schedule","1991","Alberni-Clayoquot Continuing Care Society","Yes","(250) 724-6541","(250) 724-6541 ext 232 / (250) 724-6541 ext 249","","Follow-up","Community Care and Assisted Living Act","0","66","0","Specialty equipment, medications not otherwise covered","No","No","No","4411 Wallace Street","3.12","Yes (no fee)"
"Accredited","Yes (2018)","0","79","","79","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","38.0%","49.8%","0.7%","1.0%","6.8%","3.8%","35.1%","","","","","","","","100 Mile House, BC V0K 2E0","","0","","0","Resident Care Coordinator","Resident only","English, German, French","","14 Dec 2015","Fischer Place/Mill Site Lodge","Primarily","Operator","0.31","2.88","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","13.9","11","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1987","Interior Health","Yes","(250) 395-7696","(250) 395-7628","","Monitoring","Hospital Act and Community Care and Assisted Living Act","0","79","0"," ","No","Yes","No","555 Cedar Ave. South","3.19","Yes (no fee)"
"Exemplary","Yes (2017)","13","95","","108","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","10.5%","39.3%","1.5%","56.9%","70.3%","14.1%","34.3%","","","","","","","","Surrey, BC V4N 0N2","","0","","0","VP-Management / Director of Care","Separate Resident and Family","English, Punjabi, Tagalog, Korean","","18 Oct 2016","Fleetwood Place","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","1.8","2","0.7","0.0","0","11.9","11.6","13","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.8","2","","Regular Schedule","2004","Ahmon Group","Yes","(604) 590-6860","(604) 590-6860 ext 1109 / (604) 590-6860 ext 1108","","Routine","Community Care and Assisted Living Act","0","108","0"," ","No","N/A","No","16011 83rd Ave","2.79","Yes (no fee)"
"Accredited","Yes (Sep 2019)","0","21","","21","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","24.5%","36.0%","Info not available","2.4%","73.2%","13.4%","39.1%","","","","","","","","Clearwater, BC V0E 1N1","","0","","0","Residential Care Coordinator","Separate Resident and Family","English, Hindi","","08 Sep 2016","Forest View Place","Primarily","Operator","0.36","2.96","Interior Health","1.0","4.8","1","1.5","4.8","1","0.7","0.0","0","11.9","14.3","3","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","4.8","1","","Regular Schedule","2002","Interior Health","Yes","(250) 674-2244","(250) 674-4100","","Monitoring","Hospital Act","0","21","0"," ","No","Yes","No","640 Park Dr.","3.32","Yes (no fee)"
"Commendation","Yes (Nov 2018)","14","82","","96","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","15.6%","44.6%","Info not available","12.1%","76.2%","Info not available","28.1%","","","","","","","","Langley, BC V1M 2R4","","0","","0","Director of Care","Separate and Combined Resident and Family Councils","English, Hindi, Polish, French","","27 Apr 2015","Fort Langley Seniors Community","Yes","Operator","0.32","2.48","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","8.3","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.0","1","","Regular Schedule","2008","Park Place Seniors Living Inc.","No","(604) 888-0711","(604) 888-0711 ext 121","","Follow-up","Hospital Act","0","68","14","Clothing labelling fee","No","No","No","8838 Glover Road","2.80","Yes (no fee)"
"Accredited","Yes (2018)","0","7","","7","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","33.9%","33.9%","Info not available","46.4%","Info not available","Info not available","Info not available","","","","","","","","Fort Nelson, BC V0C 1R0","","Info not available","","Info not available","Nurse Manager","No Councils","English","","12 Mar 2012","Fort Nelson Multi Level Unit","Yes","Operator","Info not available","2.33","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","14.3","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","N/A","1963","Northern Health","No","(250) 774-8100","(250) 774-8100","","Routine","Hospital Act","0","7","0"," ","Yes","Yes","No","5315 Liard St Box 6o","2.33","Yes (no fee)"
"NA","No","0","125","","125","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","Info not available","Info not available","Info not available","Info not available","Info not available","Info not available","Info not available","","","","","","","","Coquitlam, BC V3K 1W1","","Info not available","","Info not available","Executive Director","Separate Resident and Family","English, French, Spanish, Hindi, Romanian, Italian, Farsi, Korean, Cantonese, Mandarin, Tagalog, Filipino","","24-Nov-16","Foyer Maillard","Yes","Outside Contractor","Info not available","Info not available","Fraser Health","1.0","Info not available","Info not available","1.5","Info not available","Info not available","0.7","Info not available","Info not available","11.9","Info not available","Info not available","0.1","Info not available","Info not available","0.2","Info not available","Info not available","1.6","Info not available","Info not available","1.6","Info not available","Info not available","","Regular Schedule","2016","Societe du Foyer Maillard","Yes","(604) 937-5578","(604) 937-5589 ext 106","","Routine","Community Care and Assisted Living Act","0","125","0","Transportation, companion services, specialized hygiene and hair dressing","No","No","No","1010 Alderson Ave","Info not available","Yes (no fee)"
"Accredited","Yes (Oct 2018)","0","50","","50","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.0%","52.0%","3.8%","40.8%","61.6%","0.6%","21.5%","","","","","","","","Hope, BC V0X 1L0","","0","","0","Manager","Separate Resident and Family","English, French, Spanish, Tagalog, Cantonese, Mandarin, German, Croatian, Finnish, Greek","","02 May 2016","Fraser Hope Lodge","Yes","Outside Contractor","0.18","3.15","Fraser Health","1.0","2.0","1","1.5","0.0","0","0.7","2.0","1","11.9","2.0","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1991","Fraser Health","Yes","(604) 860-7706","(604) 860-7735","","Routine","Hospital Act","0","46","2"," ","No","No","No","1275-7th Avenue RR2","3.33","Yes (no fee)"
"Exemplary","Yes (Nov 2018)","4","101","","105","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","13.6%","22.7%","2.3%","Info not available","9.1%","4.6%","12.6%","","","","","","","","Richmond, BC V7A 1H2","","1","","0","Administrator","Separate Resident and Family","English, German, Ukrainian, Polish, Punjabi, Tagalog, Mandarin, Cantonese","","17 Feb 2016","Fraserview Retirement Community","Yes","Outside Contractor","0.19","2.46","Vancouver Coastal","1.0","0.9","1","1.5","0.0","N/A","0.7","1.9","2","11.9","14.0","15","0.1","0.0","0","0.2","0.0","0","1.6","3.7","4","1.6","0.9","1","","Regular Schedule","1968","Fraserview Retirement Community Ltd.","Yes","(604) 274-3510","(604) 274-3510","","Follow-up","Community Care and Assisted Living Act","0","33","37"," ","No","N/A","No","9580 Williams Road","2.65","Yes (no fee)"
"Accredited","Yes (2018)","0","120","","120","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","35.5%","59.8%","3.7%","1.5%","63.5%","33.6%","36.6%","","","","","","","","Prince George, BC V2L 0A5","","Info not available","","Info not available","Manager","Separate Resident and Family","French, Swahili, Kirundi, Chewa, Ukrainian, Hindi, German, Filipino, Malayan","","21 Jan 2014","Gateway Lodge Complex Care","Yes","Operator","Info not available","3.08","Northern Health","1.0","0.8","1","1.5","0.8","1","0.7","0.0","0","11.9","6.7","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","6.7","8","","Regular Schedule","2010","Northern Health","Yes","(250) 645-6100","(250) 565-5566","","Routine","Community Care and Assisted Living Act","0","120","0"," ","No","No","No","1488 20th Ave","3.13","Yes (no fee)"
"Accredited","Yes (Nov 2019)","0","300","","300","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","14.5%","38.7%","2.1%","19.5%","25.0%","2.0%","26.7%","","","","","","","","Burnaby, BC V3N 3X5","","1","","0","Director of Care","Separate Resident and Family","English, Punjabi, Hindi, Cantonese, Mandarin, Italian, Polish, Farsi, Croatian, French, Tagalog, Spanish, Portuguese","","28 Nov 2016","George Derby Centre","Yes","Operator","0.33","2.54","Fraser Health","1.0","0.0","0","1.5","0.7","2","0.7","1.0","3","11.9","12.7","38","0.1","0.0","0","0.2","0.0","0","1.6","1.0","3","1.6","1.0","3","","Regular Schedule","1989","George Derby Care Society","Yes","(604) 521-2676","(604) 521-2676","","Follow-up","Community Care and Assisted Living Act","0","284","8","Clothing labelling fee","No","No","No","7550 Cumberland St","2.87","Yes (no fee)"
"Accredited","Yes (2016)","0","114","","114","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","8.9%","43.6%","21.4%","52.8%","60.7%","10.0%","36.8%","","","","","","","","Vancouver, BC V6P 1S1","","2","","2","Manager","Resident only","English, Spanish, Mandarin, Cantonese, Hindi, Tagalog, French, Punjabi","","04 Apr 2016","George Pearson","Yes","Operator","0.86","4.86","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","10.5","12","0.1","0.0","0","0.2","2.6","3","1.6","0.9","1","1.6","2.6","3","","Regular Schedule","1980","Vancouver Coastal Health","Yes","(604) 321-3231","(604) 322-8308","","Routine","Hospital Act","7","54","13"," ","Yes","No","No","700 West 57th Ave.","5.72","Yes (no fee)"
"Exemplary","Yes (Nov 2016)","2","132","","134","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.3%","44.2%","63.5%","15.7%","83.4%","4.5%","45.1%","","","","","","","","Vancouver, BC V5P 2P6","","Info not available","","Info not available","CEO","Separate Resident and Family","English, German, Polish, Hungarian, Mandarin, Cantonese, Tagalog, Farsi, Romanian, Bulgarian, Japanese, Russian, Punjabi","","28 Sep 2016","German Canadian Care Home","Yes","Operator","0.28","2.52","Vancouver Coastal","1.0","0.0","0","1.5","4.5","6","0.7","0.7","1","11.9","8.2","11","0.1","0.0","0","0.2","0.0","0","1.6","3.0","4","1.6","0.0","0","","Regular Schedule","1979","German Canadian Homes Society","Yes","(604) 713-6500","(604) 713-6503","","Follow-up","Community Care and Assisted Living Act","0","76","29","Clothing labelling fee","No","Yes","Yes","2010 Harrison Drive","2.80","Yes (no fee)"
